sentence_id,sentence_en,sentence_he
246,"All the world's whales, porpoises, and dolphins argued that the military's use of underwater sonar was hurting them, changing their natural behaviors, like eating and mating.","כל הלווייתנים, הדולפינים והדולפינים בעולם טענו שהשימוש של הצבא בסונאר תת-מימי פוגע בהם, משנה את ההתנהגויות הטבעיות שלהם, כמו אכילה והזדווגות."
247,"Basically, sonar is just an incredibly loud sound wave.","בעיקרון, סונאר הוא רק גל קול חזק להפליא."
248,"So cetaceans, that's a scientific word for a category of marine mammal cetaceans flee when they hear sonar, sometimes even beating themselves to get away.","אז לוונים, זו מילה מדעית לקטגוריה של לומני יונקים ימיים בורחים כשהם שומעים סונאר, לפעמים אפילו מכים את עצמם כדי לברוח."
249,"In that case, the Ninth Circuit Court of Appeals decided that unless Congress explicitly states otherwise, animals do not have standing to sue in federal court.","במקרה זה, בית המשפט התשיעי לערעורים החליט כי אלא אם כן הקונגרס קבע אחרת במפורש, לבעלי חיים אין זכות לתבוע בבית משפט פדרלי."
250,So that's the case Andrew pointed to in his defense.,אז זה המקרה שאנדרו הצביע עליו להגנתו.
251,"But PETA hired an outside attorney to represent the monkey Naruto in court, a guy named David Schwarz.","אבל PETA שכרה עורך דין חיצוני שייצג את הקוף נארוטו בבית המשפט, בחור בשם דיוויד שוורץ."
252,"This guy, Schwarz, he comes from a fancy law firm in Los Angeles known for intellectual property law.","הבחור הזה, שוורץ, הוא בא ממשרד עורכי דין מפואר בלוס אנג'לס הידוע בדיני קניין רוחני."
253,Most of his case was an intellectual property argument that Naruto was the legal owner of the copyright because he was the one who made the photo.,רוב המקרה שלו היה טיעון קניין רוחני לפיו נארוטו היה הבעלים החוקי של זכויות היוצרים מכיוון שהוא זה שעשה את התמונה.
254,But PETA also saw this case as an opportunity to nudge the law and set a precedent.,אבל PETA גם ראתה במקרה הזה הזדמנות לדחוף את החוק וליצור תקדים.
255,They disagreed with the ruling in the cetacean case.,הם לא הסכימו עם הפסיקה בעניין השכינה.
256,They believe animals should have recourse in court.,הם מאמינים שבעלי חיים צריכים לפנות לבית המשפט.
257,"Calling civil matter 15-4324, Naruto v David John Slater, et al.","קורא לעניין אזרחי 15-4324, Naruto v David John Slater, et al."
258,"Counsel, please come forward and state your appearance.","עורך דין, בבקשה בוא קדימה והצהיר על הופעתך."
259,This is a recording from the hearing in the federal district court in San Francisco.,מדובר בהקלטה מהדיון בבית המשפט המחוזי הפדרלי בסן פרנסיסקו.
260,The judge asked Schwarz if he has an example of an animal ever being granted a copyright.,השופט שאל את שוורץ אם יש לו דוגמה לכך שחיה קיבלה אי פעם זכויות יוצרים.
261,"In the vast history of common law prior to the Copyright Act, was there do you have an example of where an animal was granted a copyright?","בהיסטוריה העצומה של המשפט המקובל לפני חוק זכויות היוצרים, האם יש לך דוגמה למקום שבו ניתנה לבעל חיים זכויות יוצרים?"
262,I do not have an example where an animal was granted a copyright.,אין לי דוגמה שבה ניתנה זכויות יוצרים לחיה.
263,We could make the counterargument as to how other humans were denied protection under that law due to the color of their skin.,נוכל להעלות את הטיעון הנגדי לגבי האופן שבו נמנעה מבני אדם אחרים הגנה על פי חוק זה בשל צבע עורם.
264,One could see the contradiction in a statutory interpretation where we see that problem in the antebellum days.,אפשר לראות את הסתירה בפרשנות סטטוטורית שבה אנו רואים את הבעיה הזו בימי קדם הבל.
265,But when you look at the cornerstones of.,אבל כשמסתכלים על אבני היסוד של.
266,"That's quite a stretch, Mr. Schwarz.","זה די מתיחה, מר שוורץ."
267,Just to pause on this for a moment.,רק לעצור על זה לרגע.
268,"Yes, Schwarz is comparing a monkey's lack of copyright to chattel slavery, which is offensive and seems weirdly blind to the racist history of comparing black people and monkeys.","כן, שוורץ משווה חוסר זכויות יוצרים של קוף לעבדות מטלטלין, שהיא פוגענית ונראית עיוורת באופן מוזר להיסטוריה הגזענית של השוואה בין שחורים לקופים."
269,Even Schwarz seems uncomfortable with it.,אפילו שוורץ נראה לא בנוח עם זה.
270,He's saying that denying a monkey the right to own property because of its species is the same as denying humans the right to own property because of the color of their skin.,הוא אומר שמניעת הזכות לבעלות על רכוש מקוף בגלל המין שלו זהה לשלילת זכות הקניין מבני אדם בגלל צבע עורם.
271,"That's quite a stretch, Mr. Schwarz.","זה די מתיחה, מר שוורץ."
272,Pardon me?,סליחה?
273,That's quite a stretch.,זה די מתיחה.
274,But go ahead.,אבל קדימה.
275,And I certainly wouldn't make it the centerpiece of any argument here today.,ובוודאי שלא הייתי הופך את זה למרכז של שום ויכוח כאן היום.
276,"But it is fair to say that before the adoption of the 14th Amendment, the concepts of property ownership in the area of patents foreclosed the ability of a slave to claim ownership to a patent.","אבל זה הוגן לומר שלפני אימוץ התיקון ה-14, המושגים של בעלות על רכוש בתחום הפטנטים עיקלו את יכולתו של עבד לתבוע בעלות על פטנט."
277,What's going on here is that PETA sees the monkey selfie case in the context of a larger end game.,מה שקורה כאן הוא ש-PETA רואה את מקרה הסלפי של הקוף בהקשר של משחק קצה גדול יותר.
278,"If they can get a court to agree that denying a monkey the right to own property is the same as denying a human the right to own property, that opens the door for the legal system to completely reconsider the legal status of animals.","אם הם יכולים לגרום לבית משפט להסכים שמניעת הזכות לבעלות על רכוש מקוף זהה לשלילת זכות הקניין מאדם, זה פותח את הדלת למערכת המשפטית לשקול מחדש לחלוטין את המעמד המשפטי של בעלי חיים."
279,An animal would be declared an owner of property instead of just being property.,בעל חיים יוכרז כבעל רכוש במקום להיות רק רכוש.
280,This isn't the first time PETA has tried an argument like this in the courts.,זו לא הפעם הראשונה ש-PETA מנסה טיעון כזה בבתי המשפט.
281,"In 2011, they sued SeaWorld on behalf of five orcas at SeaWorld Orlando and SeaWorld San Diego.",ב-2011 הם תבעו את SeaWorld בשם חמישה אורקות ב-SeaWorld אורלנדו וב-SeaWorld סן דייגו.
282,"Orcas are huge, 20 to 30 feet long.","אורקות הם ענקיים, באורך של 20 עד 30 רגל."
283,And they weigh about six tons.,והם שוקלים כשישה טון.
284,They typically travel around 75 miles in a day.,הם בדרך כלל נוסעים בסביבות 75 מייל ביום.
285,"PETA said that keeping these orcas at SeaWorld in small concrete tanks against their will to perform for human entertainment, that was slavery.","PETA אמר כי החזקת האורקות הללו ב-SeaWorld במיכלי בטון קטנים בניגוד לרצונם להופיע למען בידור אנושי, זו הייתה עבדות."
286,PETA lost that case.,PETA הפסידה בתיק הזה.
287,But SeaWorld has agreed to end its captive orca program after the last of their 27 orcas dies.,אבל סי-וורלד הסכימה לסיים את תוכנית האורקה השבויה שלה לאחר שמת האחרון מבין 27 האורקות שלהם.
288,"To understand why PETA is pursuing cases like these, you have to consider two very different pictures about how the world works.","כדי להבין מדוע PETA רודפת מקרים כמו אלה, אתה צריך לשקול שתי תמונות שונות מאוד על איך העולם עובד."
289,"In one of them, humans are at the top of the food chain-- either because God wanted it that way, or because we figured out how to use our opposable thumbs so well that we could hunt and gather, and till the soil, and build cities, and create copyright laws.","באחד מהם, בני האדם נמצאים בראש שרשרת המזון - או בגלל שאלוהים רצה את זה ככה, או בגלל שמצאנו איך להשתמש באגודלים המנוגדים שלנו כל כך טוב שנוכל לצוד ולאסוף, ולעבד את האדמה, ולבנות ערים, וליצור חוקי זכויות יוצרים."
290,We make the rules for everything else in this world.,אנחנו קובעים את הכללים לכל דבר אחר בעולם הזה.
291,And the other picture-- and this is the one PETA has hanging on their wall-- humans are not at the top.,והתמונה השנייה - וזו התמונה של PETA תלויה על הקיר שלהם - בני אדם לא נמצאים בראש.
292,Humans are just another mammal walking around on earth.,בני אדם הם רק עוד יונק שמסתובב על פני כדור הארץ.
293,"And if we're going to give ourselves certain rights as humans, we should extend those rights to our fellow animals.","ואם אנחנו מתכוונים לתת לעצמנו זכויות מסוימות כבני אדם, עלינו להרחיב את הזכויות הללו לאחיינו החיות."
294,You guys are saying humans are not superior to other animals.,אתם אומרים שבני אדם אינם עדיפים על חיות אחרות.
295,We're not.,אנחנו לא.
296,We are just another member of the animal kingdom.,אנחנו רק עוד חבר בממלכת החיות.
297,And it doesn't it's just prejudice and hubris that prevents us many times from seeing that.,וזה לא רק דעות קדומות והיבריס שמונעים מאיתנו הרבה פעמים לראות את זה.
298,"This is Jeff Kerr again, the general counsel to PETA.","זה שוב ג'ף קר, היועץ הכללי של PETA."
299,That property status is something that we think is just an abomination.,מעמד הרכוש הזה הוא משהו שאנחנו חושבים שהוא רק תועבה.
300,"Like Naruto, these animals are feeling, sentient beings.","כמו נארוטו, החיות הללו הן יצורים חשים ובעלי חיים."
301,"They should be entitled to fundamental legal rights beyond simply food, water, veterinary care, and shelter.","הם צריכים להיות זכאים לזכויות יסוד משפטיות מעבר למזון, מים, טיפול וטרינרי ומחסה בלבד."
302,"This idea that animals should have recognized, fundamental legal rights is not unprecedented.",הרעיון הזה שבעלי חיים היו צריכים להכיר בזכויות משפטיות בסיסיות אינו חסר תקדים.
303,"Three years ago in Argentina, a judge granted a habeas corpus petition filed on behalf of an orangutan at a zoo in Buenos Aires.","לפני שלוש שנים בארגנטינה, קיבל שופט עתירה שהוגשה בשם אורנגאוטן בגן חיות בבואנוס איירס."
304,"She was being held in a tiny, crappy cage.",היא הוחזקה בכלוב קטנטן ומחורבן.
305,"The judge decided the orangutan had basic rights as a non-human person, including the right to freedom.","השופט החליט שלאורנגאוטן יש זכויות בסיסיות כאדם לא אנושי, כולל הזכות לחירות."
306,"And in New York state, an attorney is fighting to get the courts to recognize that two captive chimps, Tommy and Kiko, are non-human persons deserving of legal rights, just like corporations get.","ובמדינת ניו יורק, עורך דין נלחם כדי לגרום לבתי המשפט להכיר בכך ששני שימפנזים שבויים, טומי וקיקו, הם אנשים לא אנושיים הראויים לזכויות משפטיות, בדיוק כמו שמקבלים תאגידים."
307,"The thing is David Slater, the photographer who's getting sued by the monkey, he agrees with PETA on this point.","העניין הוא דיוויד סלייטר, הצלם שנתבע על ידי הקוף, הוא מסכים עם PETA בנקודה זו."
308,"In fact, he used to defend PETA to his friends when they grumbled about the stunts.","למעשה, הוא נהג להגן על PETA בפני חבריו כאשר הם רטנו על הפעלולים."
309,David even worked with them once on a campaign to protect wild hogs near his home in England.,דיוויד אפילו עבד איתם פעם אחת בקמפיין להגנה על חזירי בר ליד ביתו באנגליה.
310,That's one of the greatest shames on them is that they've attacked somebody who is trying to achieve the same goal as they are.,זו אחת הבושה הכי גדולה עבורם היא שהם תקפו מישהו שמנסה להשיג את אותה מטרה כמוהם.
311,Saving animals from suffering is a very noble cause.,הצלת בעלי חיים מסבל היא מטרה נעלה מאוד.
312,But I think sometimes they get carried away with their power.,אבל אני חושב שלפעמים הם נסחפים עם הכוח שלהם.
313,"Did the fact that this group that's sort of on your side was the one kind of attacking you or opposing you, did that make you stop ever and think, well, now, wait a minute?","האם העובדה שהקבוצה הזו שנמצאת קצת בצד שלך הייתה הסוג היחיד שתקף אותך או התנגד לך, זה גרם לך לעצור אי פעם ולחשוב, טוב, עכשיו, חכה רגע?"
314,Do they have a point?,יש להם טעם?
315,No.,לֹא.
316,I've had to think very carefully about what my philosophy is.,נאלצתי לחשוב היטב מה הפילוסופיה שלי.
317,"Because the book, my Wildlife Personalities book, that's part of the court case, I argue for animals having more fundamental rights, like dignity, and access to their ancestral forests, and access to food.","מכיוון שהספר, ספר אישיות חיות הבר שלי, זה חלק מתיק בית המשפט, אני טוען שלבעלי חיים יש זכויות בסיסיות יותר, כמו כבוד, וגישה ליערות אבותיהם וגישה למזון."
318,So I am an animal rights advocate.,אז אני חסיד זכויות בעלי חיים.
319,Naruto and PETA lost that first round in court.,נארוטו ו-PETA הפסידו בסיבוב הראשון בבית המשפט.
320,Andrew Dhuey called David to tell him the news.,אנדרו דואי התקשר לדיוויד כדי לבשר לו את החדשות.
321,We just took it very casually.,פשוט לקחנו את זה כלאחר יד.
322,"We just said, yeah, of course.","רק אמרנו, כן, כמובן."
323,Of course that's going to get thrown out.,כמובן שזה ייזרק החוצה.
324,Andrew Dhuey said this all along to me.,אנדרו דהוי אמר לי את זה כל הזמן.
325,There's no way that this is going to go anywhere.,אין סיכוי שזה יגיע לשום מקום.
326,And then the monkey appealed.,ואז הקוף ערער.
327,"Good morning, Your Honors.","בוקר טוב, כבוד הרב."
328,"And may it please the court, David Schwarz on behalf of the appellant.","ויהי רצון לבית המשפט, דוד שוורץ בשם המערער."
329,The case went before three judges on the Ninth Circuit Court of Appeals.,התיק הועבר לשלושה שופטים בבית המשפט התשיעי לערעורים.
330,That's the court that ruled against Trump's travel ban twice this year.,זה בית המשפט שהכריע את איסור הנסיעה של טראמפ פעמיים השנה.
331,These judges are not messing around.,השופטים האלה לא מתעסקים.
332,Schwarz made it 30 seconds into his oral argument before one of the judges interrupted him.,שוורץ עשה זאת 30 שניות לטיעונו בעל פה לפני שאחד השופטים קטע אותו.
333,"Mr. Schwarz, before we get there, there's a preliminary question which I'd like you to address.","מר שוורץ, לפני שנגיע לשם, יש שאלה מקדימה שארצה שתתייחס אליה."
334,"At this stage, the attorneys and the judges are going to debate case law.",בשלב זה עומדים עורכי הדין והשופטים לדון בפסיקה.
335,"And the judges have a lot of questions for Schwarz the first being, how are you qualified to be Naruto's next friend?","ולשופטים יש הרבה שאלות לשוורץ, קודם כל, איך אתה כשיר להיות החבר הבא של נארוטו?"
336,You don't know the monkey.,אתה לא מכיר את הקוף.
337,"And then a few minutes later, Judge Randy Smith interrupts Schwarz to grill him about injury.","ואז כמה דקות לאחר מכן, השופט רנדי סמית' קוטע את שוורץ כדי להגריל אותו לגבי פציעה."
338,That's the legal term for harm or damage.,זה המונח המשפטי לנזק או נזק.
339,"Well, what's your injury?","ובכן, מה הפציעה שלך?"
340,There's no way to acquire or hold some money which the copyright would give.,אין דרך לרכוש או להחזיק כסף שזכויות היוצרים יתנו.
341,There's no losses to reputation.,אין הפסד למוניטין.
342,There's no even allegation that the copyright could have benefited somehow Naruto.,אין אפילו טענה שזכויות היוצרים היו יכולות להועיל איכשהו לנארוטו.
343,What financial benefits apply to him?,אילו הטבות כספיות חלות עליו?
344,There's nothing.,אין כלום.
345,"But, Your Honor, the redressability issue doesn't necessarily turn on the compensation.","אבל, כבוד השופט, סוגיית התיקון לא בהכרח מפעילה את הפיצוי."
346,It could be.,זה יכול להיות.
347,"Well, I want to know what then is the injury.","ובכן, אני רוצה לדעת מהי הפציעה."
348,There's no case that says copyright infringement itself is injury.,אין מקרה שאומר שהפרת זכויות יוצרים עצמה היא פגיעה.
349,So what injury do we have?,אז איזו פציעה יש לנו?
350,"Whatever the legal merits of this case are, there's just something really enjoyable about hearing lawyers throw around terms like redressability and compensation and injury when they're talking about a monkey.","לא משנה מה היתרונות המשפטיים של התיק הזה, יש משהו ממש מהנה בלשמוע עורכי דין זורקים מונחים כמו יכולת תיקון ופיצוי ופציעה כשהם מדברים על קוף."
351,"I mean, if you give me a case that says copyright infringement itself is injury, I'll believe you.","כלומר, אם תביא לי מקרה שאומר שהפרת זכויות יוצרים כשלעצמה היא פגיעה, אני אאמין לך."
352,But I don't think you've given me one.,אבל אני לא חושב שנתת לי אחד.
353,What's your injury?,מה הפציעה שלך?
354,"The judges and Schwarz volley over case law and legal precedent and the definition of author for 20 minutes before handing the floor to David's lawyer, Andrew Dhuey.","השופטים ושוורץ מטפחים על פסיקה ותקדים משפטי ועל הגדרת המחבר במשך 20 דקות לפני שהם מוסרים את הדיבור לעורך דינו של דיוויד, אנדרו דווי."
355,"And after two years of research and legal filings and oral arguments, Dhuey finally gets his wish to make a monkey joke in court.","ואחרי שנתיים של מחקר והגשות משפטיות וטיעונים בעל פה, דואי סוף סוף מקבל את רצונו לעשות בדיחה של קוף בבית המשפט."
356,"Monkey see, monkey sue will not do in federal court.","קוף רואה, תביעת קוף לא תתאים בבית משפט פדרלי."
357,"After that, his oral arguments can pretty much be summed up as, you should throw this case out.","לאחר מכן, ניתן לסכם את הטיעונים בעל פה בערך כך שכדאי לזרוק את התיק הזה."
358,And can you please make PETA pay my legal fees?,והאם אתה יכול בבקשה לגרום ל-PETA לשלם את הוצאות המשפט שלי?
359,"Once Dhuey is done, Angela Dunning gets up.","לאחר שדואי מסיים, אנג'לה דאנינג קמה."
360,She's the codefendant's attorney.,היא עורכת הדין של הנאשם.
361,PETA also sued the self-publishing book company that David had used.,PETA תבעה גם את חברת הספרים להוצאה עצמית שדיוויד השתמש בה.
362,"So Angela Dunning gets up to deliver her defense, which is also pretty straightforward.","אז אנג'לה דאנינג קמה כדי לספק את ההגנה שלה, שהיא גם די פשוטה."
363,Naruto can't benefit financially from his work.,נארוטו לא יכול להרוויח כלכלית מעבודתו.
364,He's a monkey.,הוא קוף.
365,David Slater wasn't in court in San Francisco that day.,דייוויד סלייטר לא היה בבית המשפט בסן פרנסיסקו באותו יום.
366,He didn't want to spend the money to travel all the way to California from Wales.,הוא לא רצה לבזבז את הכסף כדי לנסוע כל הדרך לקליפורניה מוויילס.
367,But he watched the whole hearing online.,אבל הוא צפה בכל הדיון באינטרנט.
368,When I watched itand you see three judges there.,כשצפיתי בו ואתה רואה שם שלושה שופטים.
369,"And then one attorney comes up, and then my attorney comes up, Andrew and then Angela, and they started talking about monkeys.","ואז עורך דין אחד בא, ואז עורך הדין שלי בא, אנדרו ואחר כך אנג'לה, והם התחילו לדבר על קופים."
370,It made it real all of a sudden.,זה הפך את זה למציאותי פתאום.
371,"That, yes, he was being sued by a monkey.","זה, כן, הוא נתבע על ידי קוף."
372,Naruto didn't make it to the hearing either.,גם נארוטו לא הגיע לשימוע.
373,He stayed in the rainforest in Indonesia.,הוא שהה ביערות הגשם באינדונזיה.
374,"And to my knowledge, nobody asked him what he thought of all this.","ולמיטב ידיעתי, אף אחד לא שאל אותו מה הוא חושב על כל זה."
375,"After two years, the humans managed to figure things out on their own.","לאחר שנתיים, בני האדם הצליחו להבין דברים בעצמם."
376,They told the appellate court they didn't want it to rule in the case after all.,הם אמרו לערכאת הערעור שהם לא רוצים שהיא תכריע בתיק בכל זאת.
377,"And in September, David and PETA announced they'd reached a settlement.","ובספטמבר, דייוויד ו-PETA הודיעו שהם הגיעו להסדר."
378,The details of the settlement are confidential.,פרטי ההסדר חסויים.
379,So I can't tell you much about it.,אז אני לא יכול לספר לך הרבה על זה.
380,But here's what I do know.,אבל הנה מה שאני כן יודע.
381,David Slater still has the monkey selfie copyright registered in his name in two countries.,לדיוויד סלייטר עדיין יש את זכויות היוצרים של הקוף לסלפי על שמו בשתי מדינות.
382,And he agreed to donate 25% of the proceeds of the photos to protect the crested macaques.,והוא הסכים לתרום 25% מההכנסות של התמונות כדי להגן על מקוק המקוצים.
383,"About Wikipedia, they've still got the monkey selfie up there for anyone to download.","לגבי ויקיפדיה, עדיין יש להם את הסלפי של הקוף שם לכל אחד להוריד."
384,They still claim it's in the public domain.,הם עדיין טוענים שזה נחלת הכלל.
385,"David will have to sue them to get it taken down, which he says he plans to do.","דיוויד יצטרך לתבוע אותם כדי להוריד את זה, מה שלדבריו הוא מתכנן לעשות."
386,There's just one other thing that should be mentioned about Naruto.,יש רק עוד דבר אחד שצריך להזכיר על נארוטו.
387,There were a bunch of monkeys around when the selfies were being taken that day.,היו חבורה של קופים בסביבה כשצילומי הסלפי צולמו באותו יום.
388,And PETA consulted with the primatologist who works with those crested black macaques.,ו-PETA התייעצה עם הפרימטולוג שעובד עם אותם מקוק שחור מצויץ.
389,She's the one who identified Naruto as the monkey in the famous selfie.,היא זו שזיהתה את נארוטו בתור הקוף בסלפי המפורסם.
390,But David says that's not right.,אבל דוד אומר שזה לא נכון.
391,Naruto is a male.,נארוטו הוא זכר.
392,I distinctly remember it being a female.,אני זוכר בבירור שזו הייתה נקבה.
393,I distinctly remember that pink rump which the female macaques have.,אני זוכרת בבירור את הגבעול הוורוד הזה שיש לנקבות המקוקים.
394,Basically what you're saying is is that Naruto is making a fraudulent claim himself.,בעצם מה שאתה אומר זה שנארוטו טוען בעצמו תביעת הונאה.
395,Yes.,כֵּן.
396,It's the wrong monkey in court.,זה הקוף הלא נכון בבית המשפט.
397,He's taking credit for an artistic work that was actually made by a female monkey.,הוא לוקח קרדיט על יצירה אמנותית שנעשתה למעשה על ידי קוף נקבה.
398,Yeah.,כֵּן.
399,And I think the feminists amongst us should start to protest.,ואני חושב שהפמיניסטיות שבינינו צריכות להתחיל למחות.
400,I'm sure she's not the first lady monkey to have this kind of experience.,אני בטוח שהיא לא הקוף של הגברת הראשונה שחווה חוויה כזו.
401,It's in the nature of both humans and monkeys to horse around in front of cameras.,זה בטבע של בני אדם וגם של קופים להסתובב מול מצלמות.
402,"But it's a uniquely human characteristic to spend hundreds of thousands of dollars, years of our lives, to go to court over it.","אבל זה מאפיין אנושי ייחודי להוציא מאות אלפי דולרים, שנים מחיינו, ללכת לבית המשפט על כך."
