sentence_id,sentence
366,لم يرد إنفاق المال للسفر من ويلز إلى كاليفورنيا.
367,لكنه شاهد الجلسة كاملة عبر الإنترنت.
368,حين شاهدتها وترى ثلاثة قضاة هناك.
369,ثم يأتي محامٍ واحد، ثم محاميّ أندرو ثم أنجيلا، وبدأوا يتحدثون عن القردة.
370,جعل الأمر حقيقياً فجأة.
371,أنه نعم، كان يُقاضَى من قِبَل قرد.
372,لم يحضر ناروتو الجلسة أيضاً.
373,بقي في الغابة المطيرة في إندونيسيا.
374,وفي حدود علمي، لم يسأله أحد عن رأيه في كل هذا.
375,بعد سنتين، تمكن البشر من حل الأمور بمفردهم.
376,أخبروا محكمة الاستئناف أنهم لا يريدون في نهاية المطاف أن تُصدر حكماً في القضية.
377,وفي سبتمبر، أعلن ديفيد وبيتا التوصل إلى تسوية.
378,تفاصيل التسوية سرية.
379,لذا لا أستطيع إخبارك بالكثير عنها.
380,لكن هذا ما أعرفه.
381,لا يزال ديفيد سلاتر يمتلك حق نشر سيلفي القرد مسجلاً باسمه في بلدين.
382,ووافق على التبرع بـ25 بالمئة من عائدات الصور لحماية مكاك العرف.
383,أما ويكيبيديا، فلا تزال لديها سيلفي القرد متاحة للتنزيل للجميع.
384,لا تزال تدّعي أنها في الملك العام.
385,سيضطر ديفيد لمقاضاتهم لإزالتها، وهو يقول إنه يخطط للقيام بذلك.
386,هناك شيء آخر واحد فقط ينبغي ذكره عن ناروتو.
387,كان هناك مجموعة من القردة في المنطقة حين كانت صور السيلفي تُلتقط ذلك اليوم.
388,وتشاورت بيتا مع عالم الرئيسيات الذي يعمل مع تلك المكاك السوداء المُعرَّفة.
389,إنها من حدّدت ناروتو كالقرد في السيلفي الشهيرة.
390,لكن ديفيد يقول إن ذلك ليس صحيحاً.
391,ناروتو ذكر.
392,أتذكر بوضوح أنها كانت أنثى.
393,أتذكر بوضوح تلك الأردية الوردية التي تملكها إناث المكاك.
394,ما تقوله في الأساس هو أن ناروتو يقدم ادعاءً احتيالياً بنفسه.
395,نعم.
396,إنه القرد الخطأ في المحكمة.
397,إنه يأخذ الفضل على عمل فني صنعته في الواقع أنثى قرد.
398,نعم.
399,وأعتقد أن النسويين بيننا يجب أن يبدأوا في الاحتجاج.
400,أنا متأكد أنها ليست أول قردة أنثى تمر بهذا النوع من التجربة.
401,من طبيعة البشر والقردة على حد سواء التصرف بعبث أمام الكاميرات.
402,لكن من السمات الإنسانية الفريدة إنفاق مئات الآلاف من الدولارات وسنوات من حياتنا للتقاضي بسببها.
