sentence_id,real_sentence_en,real_sentence_ar,pseudo_sentence_ar_from_all_eyal_words
186,They made a comic book called Your Mommy Kills Animals and then handed it out to moms who were wearing fur coats at performances of the Nutcracker.,صنعوا كتاب قصص مصورة يُسمى أمك تقتل الحيوانات ووزعوه على الأمهات اللواتي كنّ يرتدين معاطف الفراء في عروض كسارة البندق.,صنع القصص المصورة مُسَمًّى يقتل الحيوانات رسالة الأمومة الصلصة الفراء السترات العروض
187,"They campaigned to change the word fish to sea kittens so that people would associate seafood with their adorable kitty cats and stop eating them the fish, I mean.","أطلقوا حملة لتغيير كلمة سمك إلى قطط البحر حتى يربط الناس المأكولات البحرية بقططهم اللطيفة ويتوقفوا عن أكلها، أعني السمك.",حملة انتخابية يتغير كلمة سمكة بحر القمامة الناس شركاء المأكولات البحرية أَخَّاذ القطط قف تناول الطعام سمكة متوسط
188,But Jeff Kerr he's the general counsel to PETA he says this monkey selfie case is not one of those stunts.,"لكن جيف كير، المستشار العام لمنظمة بيتا، يقول إن قضية سيلفي القرد ليست من هذه المقالب.",عام محامي يقول قرد صورة سيلفي قضية حركات بهلوانية
189,We first saw the monkey selfie in approximately 2014 when the dispute between Mr. Slater and Wikimedia became international news.,رأينا سيلفي القرد لأول مرة في حوالي عام 2014 عندما أصبح النزاع بين السيد سلاتر وويكيميديا خبراً دولياً.,مخصص قرد صورة سيلفي قسم ويكيميديا عكس أخبار
190,"Our view was immediately that Naruto, who created the photograph, should own the copyright to it.","كان رأينا فوراً أن ناروتو، الذي التقط الصورة، يجب أن يمتلك حقوق نشرها.",منظر جمالي مخلوق مخلوق تصوير له حقوق الطبع والنشر
191,"Jeff saw the dispute as this photographer wants to sue Wikimedia, and Wikimedia is claiming the photo is in the public domain.","رأى جيف النزاع على النحو التالي: هذا المصور يريد مقاضاة ويكيميديا، وويكيميديا تدّعي أن الصورة في الملك العام.",مخصص قسم مصور يريد مقاضاة ويكيميديا ويكيميديا تحميل تصوير الملكية العامة
192,But who's standing up for the monkey?,لكن من يدافع عن القرد؟,واقفاً قرد
193,That's what the law is.,هذا ما يقوله القانون.,قانون
194,"And our argument, very simply, is that that should apply equally to him, even though he simply happens not to have been born human.","وحجتنا، ببساطة شديدة، هي أن ذلك ينبغي أن ينطبق عليه بالمثل، رغم أنه لم يُولَد بشراً.",مطالبة إخلاء شعاع وُلِدّ بشر
195,"But certainly the monkey didn't think like, now this is great.","لكن القرد بالتأكيد لم يفكر، الآن هذا رائع.",قرد لم أكن أعتقد كبير
196,I've got a camera in my hands.,لديّ كاميرا في يدي.,آلة تصوير الأيدي
197,I'm gonna snap a couple frames and update my Bumble profile with whatever I get.,سألتقط بعض الصور وأحدّث ملفي على بامبل بما أحصل عليه.,ذاهب تصوير زوج إطارات تحديث حساب تعريفي يعرف
198,"The monkey's not thinking of it as, I'm taking a photograph here.","القرد لا يفكر في الأمر على أنه، أنا ألتقط صورة هنا.",القرود التفكير أخذ تصوير
199,But that's not required under the copyright law.,لكن هذا غير مطلوب بموجب قانون حقوق النشر.,ملتزم قانون حقوق التأليف والنشر
200,"All that's required is that the copyright law simply provides that the author, the creator of the image, is entitled to own it.","كل ما هو مطلوب هو أن ينص قانون حقوق النشر ببساطة على أن المؤلف، منشئ الصورة، يحق له امتلاكها.",ملتزم قانون حقوق التأليف والنشر مزود مؤلف الخالق صورة مستحق له
201,It doesn't say that the author has to know that he or she is making a photograph.,لا يقول إن المؤلف يجب أن يعلم أنه يلتقط صورة.,لا يقول مؤلف يعرف تحضير تصوير
202,"If somebody gives you their camera and asks you to take a photograph, and you arrange them and you take the photograph, under those circumstances, you technically would own the copyright.","إذا أعطاك أحدهم كاميرته وطلب منك التقاط صورة، ورتّبت وضعهم والتقطت الصورة، في هذه الظروف، ستمتلك تقنياً حقوق النشر.",يعطي آلة تصوير يسأل تصوير تصوير تنظم تصوير تصوير ظروف له حقوق الطبع والنشر
203,There are like 20 French tourists that I need to sue.,هناك نحو 20 سائحاً فرنسياً أحتاج إلى مقاضاتهم.,فرنسي السياح يجب مقاضاة
204,PETA is an American organization.,بيتا منظمة أمريكية.,منظمة
205,And the case was to be heard in federal court in San Francisco.,وكان من المقرر أن تُنظر القضية في محكمة فيدرالية في سان فرانسيسكو.,قضية مسموع المحكمة الفيدرالية سان فرانسيسكو
206,David talked to his lawyers in England.,تحدث ديفيد إلى محاميه في إنجلترا.,تكلم المحامون إنجلترا
207,And they told him he needed to hire an American attorney and fight this.,وأخبروه أنه يحتاج إلى توظيف محامٍ أمريكي والقتال في هذه القضية.,قال ضروري إيجار محامي كفاح
208,"I was advised by talking to these attorneys that I really did need to follow this through, because there would be a chance, an outside chance albeit, of it just going the monkey's way if I didn't challenge it.","نُصحت بعد التحدث إلى هؤلاء المحامين بأنني بحاجة فعلاً إلى متابعة هذا، لأن هناك احتمالاً، وإن كان بعيداً، بأن تسير الأمور لصالح القرد إذا لم أُعارض ذلك.",مُستَحسَن يتصل المحامون يحتاج فعل يحتاج يتبع فرصة فرصة ذاهب القرود طريق لا تحدي
209,The monkey would win?,سيفوز القرد؟,قرد يفوز
210,Yeah.,نعم.,
211,"Well, it was in the court in California.","حسناً، كانت في المحكمة في كاليفورنيا.",محكمة كاليفورنيا
212,And everybody has the opinion that anything can happen there.,والجميع يعتقد أن أي شيء يمكن أن يحدث هناك.,رأي يحدث
213,I don't know how true that is.,لا أعرف مدى صحة ذلك.,لا أعرف. يمين
214,But I was being told I can't take that risk.,لكن قيل لي إنني لا أستطيع المجازفة بذلك.,قال يأخذ مخاطرة
215,But of course.,لكن بالطبع.,بالطبع
216,Have you been to California?,هل زرت كاليفورنيا؟,كاليفورنيا
217,"Well, no.","حسناً، لا.",
218,It's kind of true.,إنه صحيح نوعاً ما.,يمين
219,David hired Andrew Dhuey to represent him.,استأجر ديفيد أندرو دوي لتمثيله.,الأجر يمثل
220,Do you remember when you first heard about the case?,هل تتذكر متى سمعت عن القضية لأول مرة؟,يفعل يتذكر مسموع قضية
221,Was it when did David call you?,هل كان حين اتصل بك ديفيد؟,يتصل
222,Is that how you first heard about it?,هكذا سمعت عنها لأول مرة؟,مسموع
223,"No, I read about it.","لا، قرأت عنها.",يقرأ
224,And I don't remember where I read about it.,ولا أتذكر أين قرأت عنها.,لا تفعل ذلك. يتذكر يقرأ
225,But I got pretty excited when I saw that it was filed in San Francisco federal court because I'm right across the bay in Berkeley.,لكنني شعرت بحماس كبير حين رأيت أنها رُفعت في المحكمة الفيدرالية في سان فرانسيسكو لأنني مقيم على الجانب الآخر من الخليج في بيركلي.,متحمس مخصص تم تقديم الطلب سان فرانسيسكو المحكمة الفيدرالية سبب بيركلي
226,"So I thought, wow, I would be perfect for this case.","فكرت، رائع، سأكون مثالياً لهذه القضية.",ظننت ممتاز قضية
227,Andrew is an intellectual property lawyer.,أندرو محامٍ متخصص في الملكية الفكرية.,الملكية الفكرية محامي
228,Works for himself.,يعمل لحسابه الخاص.,وظائف
229,"And when he read about the case, he reached out to David to ask if he could take it.","وحين قرأ عن القضية، تواصل مع ديفيد ليسأل إن كان يستطيع الأخذ بها.",يقرأ قضية وصل بسأل يأخذ
230,Why did you think you were perfect for the case?,لماذا اعتقدت أنك مثالي لهذه القضية؟,يفكر ممتاز قضية
231,"Well, I think the case kind of lent itself to making monkey puns and things like that.","حسناً، أعتقد أن القضية أتاحت المجال لتوريات على القردة وأمثالها.",التفكير معرفة قضية معرفة تحضير قرد ألعاب الكلمات أشياء
232,And I just thought that would be I kind of like to do that.,"وفكرت فقط أن ذلك كان سيكون، أنا أحب فعل ذلك.",معتقد
233,I like to joke around.,أحب المزاح.,
234,I don't know if you've seen my LinkedIn profile.,لا أعرف إن رأيت ملفي على لينكدإن.,لا أعرف. يرى لينكد إن حساب تعريفي
235,I'm in a Chippendales costume.,أنا بزي تشيبينديلز.,تشيبينديلز زيّ
236,"For his LinkedIn picture, Andrew chose a shot of himself wearing eyeglasses, a bow tie, and nothing else.","لصورة لينكدإن الخاصة به، اختار أندرو صورة له يرتدي فيها نظارة وربطة عنق فراشية ولا شيء آخر.",لينكد إن صورة يختار ركلة الصلصة نظارات قوس رَابِطَة
237,"All these years I've been practicing for like 25 years, and I've never been able to joke around in anything I filed in court.","طوال هذه السنوات كنت أمارس المحاماة نحو 25 سنة، ولم أتمكن قط من المزاح في أي شيء قدمته للمحكمة.",سنين المتدرب سنين قادر تم تقديم الطلب محكمة
238,"So I was like, hey, this would actually be a case where I could do that.","فكنت أقول لنفسي، مرحباً، هذه في الواقع قضية يمكنني فيها فعل ذلك.",قضية
239,"That said, he's a real intellectual property lawyer.","مع ذلك، هو محامٍ حقيقي في الملكية الفكرية.",يقول حقيقي الملكية الفكرية محامي
240,"He's defended the toy company Wham O, won an important case against Panasonic.",دافع عن شركة الألعاب وام-أو وفاز في قضية مهمة ضد باناسونيك.,محمي لعبة شركة فاز مهم قضية
241,"And for Andrew, the case was a one banana problem.","وبالنسبة لأندرو، كانت القضية مشكلة موزة واحدة.",قضية موز مشكلة
242,He answered Naruto's complaint with a motion to dismiss the case.,ردّ على شكوى ناروتو بطلب رفض القضية.,إجابة شكوى حركة يرفض قضية
243,"Monkeys, he said, do not have standing to sue in federal court.","القردة، قال، ليس لها صفة لمقاضاة في المحكمة الفيدرالية.",القرود يقول واقفاً مقاضاة المحكمة الفيدرالية
244,His argument is based on a precedent set in 2004 in a case called Cetacean Community v George W.,حجته مستندة إلى سابقة قُررت عام 2004 في قضية تُسمى مجتمع الحيتانيات ضد جورج دبليو.,مطالبة قائم على سابقة نظام قضية مُسَمًّى مجتمع
245,"Bush, in which all the world's whales, porpoises, and dolphins sued the president.","بوش، حيث قاضت جميع حيتان العالم وخنازير البحر والدلافين الرئيس.",عوالم الحيتان الدلافين الدلافين سو رئيس
246,"All the world's whales, porpoises, and dolphins argued that the military's use of underwater sonar was hurting them, changing their natural behaviors, like eating and mating.",جميع حيتان العالم وخنازير البحر والدلافين ادّعت أن استخدام الجيش للسونار تحت الماء كان يضرها ويغير سلوكها الطبيعي كالأكل والتزاوج.,عوالم الحيتان الدلافين الدلافين حمولة الجيوش يستخدم تحت الماء جارح عامل طبيعي السلوكيات تناول الطعام التزاوج
247,"Basically, sonar is just an incredibly loud sound wave.","في الأساس، السونار مجرد موجة صوتية شديدة الصخب.",بصوت عال موجة صوتية
248,"So cetaceans, that's a scientific word for a category of marine mammal cetaceans flee when they hear sonar, sometimes even beating themselves to get away.","إذن الحيتانيات، وهي كلمة علمية لفئة من الثدييات البحرية، تفر حين تسمع السونار، وأحياناً تضرب نفسها للهروب.",الثدييات البحرية علمي كلمة فئة الثدييات الثدييات البحرية يسمع شاطئ
249,"In that case, the Ninth Circuit Court of Appeals decided that unless Congress explicitly states otherwise, animals do not have standing to sue in federal court.","في تلك القضية، قررت محكمة الاستئناف للدائرة التاسعة أنه ما لم يُصرّح الكونغرس بخلاف ذلك، لا يحق للحيوانات المقاضاة في المحكمة الفيدرالية.",قضية محكمة الاستئنافات مقرر بلدان الحيوانات واقفاً مقاضاة المحكمة الفيدرالية
250,So that's the case Andrew pointed to in his defense.,إذن هذه هي القضية التي أشار إليها أندرو في دفاعه.,قضية نقطة حماية
251,"But PETA hired an outside attorney to represent the monkey Naruto in court, a guy named David Schwarz.","لكن بيتا استأجرت محامياً خارجياً لتمثيل القرد ناروتو في المحكمة، رجل يُدعى ديفيد شوارتز.",تم توظيفه محامي يمثل قرد محكمة رجل اسم
252,"This guy, Schwarz, he comes from a fancy law firm in Los Angeles known for intellectual property law.","هذا الشخص، شوارتز، يأتي من مكتب محاماة فاخر في لوس أنجلوس معروف بقانون الملكية الفكرية.",رجل آت مكتب محاماة لوس أنجلوس معروف الملكية الفكرية قانون
253,Most of his case was an intellectual property argument that Naruto was the legal owner of the copyright because he was the one who made the photo.,معظم قضيته كانت حجة ملكية فكرية مفادها أن ناروتو هو المالك القانوني لحقوق النشر لأنه من التقط الصورة.,قضية الملكية الفكرية مطالبة قانوني حقوق الطبع والنشر الميل تصوير
254,But PETA also saw this case as an opportunity to nudge the law and set a precedent.,لكن بيتا رأت أيضاً في هذه القضية فرصة لدفع القانون وتأسيس سابقة.,يرى قضية فرصة يتحرك قانون نظام سابقة
255,They disagreed with the ruling in the cetacean case.,اختلفوا مع الحكم في قضية الحيتانيات.,غير موافق الحكم قضية
256,They believe animals should have recourse in court.,يؤمنون بأن الحيوانات يجب أن يكون لها حق اللجوء إلى المحاكم.,المؤمنون الحيوانات محكمة
257,"Calling civil matter 15 4324, Naruto v David John Slater, et al.","استدعاء القضية المدنية رقم 15-4324، ناروتو ضد ديفيد جون سلاتر وآخرين.",قدر مدني مادة خطوة
258,"Counsel, please come forward and state your appearance.","المحامون، تفضلوا إلى الأمام وأعلنوا حضوركم.",محامي يأتي ولاية مظهر جيد
259,This is a recording from the hearing in the federal district court in San Francisco.,هذا تسجيل من الجلسة في المحكمة الفيدرالية في سان فرانسيسكو.,ظهراً تسجيل السمع المحكمة الفيدرالية سان فرانسيسكو غير متوقع
260,The judge asked Schwarz if he has an example of an animal ever being granted a copyright.,سأل القاضي شوارتز إن كان لديه مثال على منح حيوان حقوق نشر.,يحكم على بسأل مثال حيوان جائزة حقوق الطبع والنشر
261,"In the vast history of common law prior to the Copyright Act, was there do you have an example of where an animal was granted a copyright?","في التاريخ الواسع للقانون العرفي قبل قانون حقوق النشر، هل لديك مثال على منح حيوان حقوق نشر؟",مغلق تاريخ القانون العام قانون حقوق التأليف والنشر مثال حيوان جائزة حقوق الطبع والنشر
262,I do not have an example where an animal was granted a copyright.,ليس لديّ مثال على منح حيوان حقوق نشر.,مثال حيوان جائزة حقوق الطبع والنشر
263,We could make the counterargument as to how other humans were denied protection under that law due to the color of their skin.,يمكننا تقديم حجة مضادة حول كيف حُرم بشر آخرون من الحماية بموجب ذلك القانون بسبب لون بشرتهم.,يفعل الحجة المضادة آخر الجنس البشري مرفوض حماية قانون كعب لون جلد
264,One could see the contradiction in a statutory interpretation where we see that problem in the antebellum days.,يمكن للمرء رؤية التناقض في التفسير القانوني حيث نرى تلك المشكلة في أيام ما قبل الحرب الأهلية.,يرى تناقض تفسير يرى مشكلة أيام
265,But when you look at the cornerstones of.,لكن حين تنظر إلى أركان.,ينظر الأساسيات
266,"That's quite a stretch, Mr. Schwarz.",هذا مبالغ فيه كثيراً يا سيد شوارتز.,التمدد
267,Just to pause on this for a moment.,فقط للتوقف عند هذا لحظة.,استراحة لحظة إجابة
268,"Yes, Schwarz is comparing a monkey's lack of copyright to chattel slavery, which is offensive and seems weirdly blind to the racist history of comparing black people and monkeys.","نعم، شوارتز يُقارن بين غياب حقوق النشر لدى القرد وعبودية الأمتعة، وهو أمر مسيء ويبدو عمياً بشكل غريب عن التاريخ العنصري لمقارنة السود بالقردة.",مقارنة القرود نقص حقوق الطبع والنشر العبودية المنقولة جارح مرئي انبهار عنصري تاريخ مقارنة السود القرود
269,Even Schwarz seems uncomfortable with it.,حتى شوارتز يبدو غير مرتاح لذلك.,مرئي غير مريح
270,He's saying that denying a monkey the right to own property because of its species is the same as denying humans the right to own property because of the color of their skin.,يقول إن حرمان قرد من حق امتلاك الممتلكات بسبب نوعه مثل حرمان البشر من حق امتلاك الممتلكات بسبب لون بشرتهم.,الحد الأقصى الإنكار قرد امتلاك عقار نفس الإنكار الجنس البشري امتلاك عقار لون جلد
271,"That's quite a stretch, Mr. Schwarz.",هذا مبالغ فيه كثيراً يا سيد شوارتز.,تمدد
272,Pardon me?,عفواً؟,عفو
273,That's quite a stretch.,هذا مبالغ فيه كثيراً.,تمدد
274,But go ahead.,لكن تفضل.,يذهب
275,And I certainly wouldn't make it the centerpiece of any argument here today.,وبالتأكيد لن أجعله محور أي حجة هنا اليوم.,يفعل منسق مطالبة اليوم
276,"But it is fair to say that before the adoption of the 14th Amendment, the concepts of property ownership in the area of patents foreclosed the ability of a slave to claim ownership to a patent.","لكن من العدل القول إنه قبل اعتماد التعديل الرابع عشر، كانت مفاهيم امتلاك الممتلكات في مجال براءات الاختراع تحول دون قدرة العبد على المطالبة بملكية براءة اختراع.",عدل يقول التبني أربعة عشر الرتق المفاهيم ملكية العقارات منطقة براءات الاختراع قدرة عبد مطالبة ملكية براءة اختراع
277,What's going on here is that PETA sees the monkey selfie case in the context of a larger end game.,ما يحدث هنا هو أن بيتا ترى قضية سيلفي القرد في سياق هدف نهائي أكبر.,ذاهب الرائي قرد صورة سيلفي قضية اتصال بيجوت نهاية اللعبة
278,"If they can get a court to agree that denying a monkey the right to own property is the same as denying a human the right to own property, that opens the door for the legal system to completely reconsider the legal status of animals.","إذا استطاعوا إقناع محكمة بالموافقة على أن حرمان قرد من حق امتلاك الممتلكات مثل حرمان إنسان، فهذا يفتح الباب للنظام القانوني لإعادة النظر الكاملة في الوضع القانوني للحيوانات.",محكمة يوافق الإنكار قرد امتلاك عقار له الإنكار بشر امتلاك عقار يفتح باب القضاء إعادة النظر الوضع القانوني الحيوانات
279,An animal would be declared an owner of property instead of just being property.,سيُعلَن عن الحيوان كمالك للممتلكات بدلاً من كونه مجرد ممتلكات.,حيوان سيتم الإعلان عنه لاحقاً أصل أصل
280,This isn't the first time PETA has tried an argument like this in the courts.,هذه ليست المرة الأولى التي تحاول فيها بيتا حجة كهذه في المحاكم.,وقت حاول مطالبة المحاكم
281,"In 2011, they sued SeaWorld on behalf of five orcas at SeaWorld Orlando and SeaWorld San Diego.","في عام 2011، قاضوا سيورلد نيابة عن خمس حيتان قاتلة في سيورلد أورلاندو وسيورلد سان دييغو.",سو باسم دييغو
282,"Orcas are huge, 20 to 30 feet long.","الحيتان القاتلة ضخمة، يتراوح طولها بين 6 و9 أمتار.",مغلق قدم
283,And they weigh about six tons.,وتزن نحو ستة أطنان.,يعتبر أطنان
284,They typically travel around 75 miles in a day.,تقطع عادة نحو 120 كيلومتراً في اليوم.,يسافر مايلز يوم
285,"PETA said that keeping these orcas at SeaWorld in small concrete tanks against their will to perform for human entertainment, that was slavery.",قالت بيتا إن إبقاء هذه الحيتان القاتلة في سيورلد في أحواض خرسانية صغيرة رغماً عنها لأداء عروض للترفيه البشري كان استعباداً.,يقول حفظ صغير أسمنت دبابات يؤدي بشر ترفيه العبودية
286,PETA lost that case.,خسرت بيتا تلك القضية.,ضائع قضية
287,But SeaWorld has agreed to end its captive orca program after the last of their 27 orcas dies.,لكن سيورلد وافقت على إنهاء برنامجها للحيتان القاتلة المستأسرة بعد موت آخر حيتانها السبع والعشرين.,متفق نهاية سجين الحوت القاتل يخطط آخر ميت
288,"To understand why PETA is pursuing cases like these, you have to consider two very different pictures about how the world works.","لفهم سبب متابعة بيتا لقضايا كهذه، عليك النظر في صورتين مختلفتين جداً لكيفية عمل العالم.",يفهم المطارد حالات يعتبر مختلف صور عالم عامل
289,"In one of them, humans are at the top of the food chain-- either because God wanted it that way, or because we figured out how to use our opposable thumbs so well that we could hunt and gather, and till the soil, and build cities, and create copyright laws.","في إحداها، البشر في أعلى سلسلة الغذاء، إما لأن الله أراد ذلك، أو لأننا اكتشفنا كيف نستخدم أبهامنا المعاكس بشكل جيد لدرجة أننا نستطيع الصيد والجمع وحرث الأرض وبناء المدن وخلق قوانين حقوق النشر.",الجنس البشري رأس السلسلة الغذائية مطلوب طريق لقد فهمنا. يستخدم الإبهام مطاردة يجمع أرض يبني المدن يخلق قوانين حقوق النشر
290,We make the rules for everything else in this world.,نحن نضع القواعد لكل شيء آخر في هذا العالم.,يخلق قواعد عالم
291,And the other picture-- and this is the one PETA has hanging on their wall-- humans are not at the top.,"والصورة الأخرى، وهذه هي التي تعلقها بيتا على جدارها، البشر ليسوا في الأعلى.",آخر صورة متكل حائط الجنس البشري رأس
292,Humans are just another mammal walking around on earth.,البشر مجرد ثدييات أخرى تجول على الأرض.,الجنس البشري الثدييات ذاهب أرض
293,"And if we're gonna give ourselves certain rights as humans, we should extend those rights to our fellow animals.","وإذا كنا سنمنح أنفسنا حقوقاً معينة كبشر، فعلينا توسيع تلك الحقوق لتشمل الحيوانات المشاركة لنا.",يعطي تأكيد حقوق الجنس البشري يمتد حقوق زميل الحيوانات
294,You guys are saying humans are not superior to other animals.,أنتم تقولون إن البشر ليسوا متفوقين على الحيوانات الأخرى.,شركة الحد الأقصى الجنس البشري الجزء العلوي حيوانات أخرى
295,We're not.,نحن لسنا كذلك.,
296,We are just another member of the animal kingdom.,نحن مجرد عضو آخر في المملكة الحيوانية.,صديق مملكة الحيوان يعرف
297,And it doesn't it's just prejudice and hubris that prevents us many times from seeing that.,والذي يمنعنا في كثير من الأحيان من رؤية ذلك هو التحيز والغطرسة فقط.,يؤذي مدفوع في كثير من الأحيان يرى
298,"This is Jeff Kerr again, the general counsel to PETA.","هذا جيف كير مجدداً، المستشار العام لمنظمة بيتا.",عام محامي
299,That property status is something that we think is just an abomination.,ذلك الوضع كممتلكات شيء نعتبره مجرد رجاسة.,أصل حالة يفكر رجس
300,"Like Naruto, these animals are feeling, sentient beings.","مثل ناروتو، هذه الحيوانات كائنات حساسة وواعية.",الحيوانات إحساس الكائنات الواعية
301,"They should be entitled to fundamental legal rights beyond simply food, water, veterinary care, and shelter.",يجب أن تتمتع بحقوق قانونية أساسية تتجاوز مجرد الغذاء والماء والرعاية البيطرية والمأوى.,مستحق أساسي الحقوق القانونية طعام ماء الطب البيطري مقبض المتلقي
302,"This idea that animals should have recognized, fundamental legal rights is not unprecedented.",هذه الفكرة القائلة بأن الحيوانات ينبغي أن تتمتع بحقوق قانونية أساسية معترف بها ليست بلا سابقة.,فكرة الحيوانات معترف به أساسي الحقوق القانونية غير مسبوق
303,"Three years ago in Argentina, a judge granted a habeas corpus petition filed on behalf of an orangutan at a zoo in Buenos Aires.","قبل ثلاث سنوات في الأرجنتين، منح قاضٍ التماس مثول أمام المحكمة مُقدَّماً نيابة عن أورانغوتان في حديقة حيوان في بوينس آيرس.",سنين الأرجنتين يحكم على جائزة التماس مُقَدَّم باسم بوينس آيرس
304,"She was being held in a tiny, crappy cage.",كانت محتجزة في قفص صغير رديء.,محتجز صغير الحجم سيء قفص
305,"The judge decided the orangutan had basic rights as a non human person, including the right to freedom.","قرر القاضي أن للأورانغوتان حقوقاً أساسية كشخص غير بشري، بما فيها حق الحرية.",يحكم على مقرر إنسان الغاب الحقوق الأساسية شخص مشتمل حرية
306,"And in New York state, an attorney is fighting to get the courts to recognize that two captive chimps, Tommy and Kiko, are non-human persons deserving of legal rights, just like corporations get.","وفي ولاية نيويورك، يناضل محامٍ لحمل المحاكم على الاعتراف بأن شمبانزيين مستأسرين، تومي وكيكو، شخصان غير بشريين يستحقان حقوقاً قانونية كما تحصل الشركات.",جديد ولاية محامي يكافح المحاكم يتعرف على سجين الناس جدير بالثناء الحقوق القانونية الشركات
307,"The thing is David Slater, the photographer who's getting sued by the monkey, he agrees with PETA on this point.","المسألة هي أن ديفيد سلاتر، المصور الذي يُقاضيه القرد، يتفق مع بيتا في هذه النقطة.",شيء مصور سو قرد يوافق نقطة
308,"In fact, he used to defend PETA to his friends when they grumbled about the stunts.","في الواقع، كان يدافع عن بيتا لأصدقائه حين كانوا يتذمرون من المقالب.",حقيقة مستخدم يحمي أصدقاء تذمر حركات بهلوانية
309,David even worked with them once on a campaign to protect wild hogs near his home in England.,بل عمل ديفيد معهم مرة في حملة لحماية خنازير برية بالقرب من منزله في إنجلترا.,عبد رحلة يحمي بري الخنازير منزل إنجلترا
310,That's one of the greatest shames on them is that they've attacked somebody who is trying to achieve the same goal as they are.,إن من أعظم ما يشينهم هو أنهم هاجموا شخصاً يسعى لتحقيق نفس هدفهم.,الأكبر عار صالح محاولة يحقق له هدف
311,Saving animals from suffering is a very noble cause.,إنقاذ الحيوانات من المعاناة قضية نبيلة للغاية.,توفير الحيوانات معاناة النبيل سبب
312,But I think sometimes they get carried away with their power.,لكنني أعتقد أحياناً أنهم ينجرفون بقوتهم.,يفكر محمول قوة
313,"Did the fact that this group that's sort of on your side was the one kind of attacking you or opposing you, did that make you stop ever and think, well, now, wait a minute?","هل جعلك كون هذه المجموعة التي هي في صفك هي من يهاجمك أو يعارضك تتوقف وتفكر، حسناً الآن، انتظر لحظة؟",حقيقة مجموعة يكتب حزب صحة الخصوم يفعل قف يفكر انتظر دقيقة
314,Do they have a point?,هل لديهم نقطة؟,نقطة
315,No.,لا.,
316,I've had to think very carefully about what my philosophy is.,اضطررت للتفكير بعناية شديدة في ما هي فلسفتي.,يفكر فلسفة سبب
317,"Because the book, my Wildlife Personalities book, that's part of the court case, I argue for animals having more fundamental rights, like dignity, and access to their ancestral forests, and access to food.","لأن الكتاب، كتابي شخصيات الحياة البرية، الذي يُعدّ جزءاً من القضية، أُجادل فيه بأن الحيوانات تستحق حقوقاً أساسية أكثر كالكرامة والوصول إلى غاباتها الأصلية والوصول إلى الطعام.",الحياة البرية الشخصيات جزء جزء محكمة قضية حمولة الحيوانات رخام الحقوق الأساسية احترام وصول عتيق الغابات وصول طعام
318,So I am an animal rights advocate.,إذن أنا مناصر لحقوق الحيوانات.,حقوق الحيوان محامي
319,Naruto and PETA lost that first round in court.,خسر ناروتو وبيتا الجولة الأولى في المحكمة.,ضائع دائري محكمة
320,Andrew Dhuey called David to tell him the news.,اتصل أندرو دوي بديفيد ليخبره بالأخبار.,مُسَمًّى يخبر أخبار
321,We just took it very casually.,تعاملنا مع الأمر ببساطة.,درس
322,"We just said, yeah, of course.","قلنا فقط، نعم، بالطبع.",يقول بالطبع
323,Of course that's gonna get thrown out.,بالطبع ستُرفض.,بالطبع رمي
324,Andrew Dhuey said this all along to me.,أندرو دوي قال لي هذا طوال الوقت.,يقول
325,There's no way that this is gonna go anywhere.,لا مجال لأن تؤدي هذه القضية إلى أي مكان.,طريق يذهب
326,And then the monkey appealed.,ثم قدّم القرد استئنافاً.,قرد جاذبية
327,"Good morning, Your Honors.",صباح الخير أيها السادة القضاة.,صباح الخير التميز
328,"And may it please the court, David Schwarz on behalf of the appellant.","وبرضا المحكمة، ديفيد شوارتز نيابة عن المستأنف.",محكمة باسم المستأنف
329,The case went before three judges on the Ninth Circuit Court of Appeals.,نُظرت القضية أمام ثلاثة قضاة في محكمة الاستئناف للدائرة التاسعة.,قضية القضاة محكمة محكمة الاستئناف قضية
330,That's the court that ruled against Trump's travel ban twice this year.,هذه المحكمة التي حكمت ضد حظر السفر لترامب مرتين هذا العام.,لافتة الفائزون يسافر منع سنة
331,These judges are not messing around.,هؤلاء القضاة لا يمزحون.,القضاة فوضى
332,Schwarz made it 30 seconds into his oral argument before one of the judges interrupted him.,وصل شوارتز إلى 30 ثانية من مرافعته الشفهية قبل أن يقاطعه أحد القضاة.,صنع ثوانٍ شفوي مطالبة القضاة مضطرب احترام
333,"Mr. Schwarz, before we get there, there's a preliminary question which I'd like you to address.","يا سيد شوارتز، قبل الوصول إلى هناك، هناك سؤال أولي أودّ منك تناوله.",تمهيدي سؤال عنوان
334,"At this stage, the attorneys and the judges are gonna debate case law.","في هذه المرحلة، سيتناقش المحامون والقضاة بشأن السوابق القضائية.",منصة المحامون القضاة مناقشة قضية قانون
335,"And the judges have a lot of questions for Schwarz the first being, how are you qualified to be Naruto's next friend?","والقضاة لديهم كثير من الأسئلة لشوارتز، أولها: ما هو تأهيلك لتكون الصديق المقرب لناروتو؟",القضاة حبكة أسئلة معتمد التالي صديق
336,You don't know the monkey.,أنت لا تعرف القرد.,لا أعرف. قرد حمولة
337,"And then a few minutes later, Judge Randy Smith interrupts Schwarz to grill him about injury.","ثم بعد دقائق قليلة، يقاطع القاضي راندي سميث شوارتز ليستجوبه عن الأذى.",قسم بضع دقائق يحكم على الاضطرابات يستكشف إصابة
