sentence_id,real_sentence_en,real_sentence_he,pseudo_sentence_he_from_all_eyal_words
187,"They campaigned to change the word fish to sea kittens so that people would associate seafood with their adorable kitty cats and stop eating them the fish, I mean.","הם עשו קמפיין לשנות את המילה דגים לגורי ים כדי שאנשים יקשרו פירות ים עם חתולי החתולים המקסימים שלהם ויפסיקו לאכול להם את הדגים, זאת אומרת.",ניהל קמפיין לשנות מלה לדוג ים גורים אנשים משייכים פירות ים מקסים חתולים להפסיק אכילה דגים ממוצע
188,But Jeff Kerr he's the general counsel to PETA he says this monkey selfie case is not one of those stunts.,"אבל ג'ף קר הוא היועץ הכללי של PETA, הוא אומר שמקרה הסלפי של הקוף הוא לא אחד מהפעלולים האלה.",כללי עורך דין אומר קוף סלפי מקרה פעלולים
189,We first saw the monkey selfie in approximately 2014 when the dispute between Mr. Slater and Wikimedia became international news.,ראינו לראשונה את הסלפי של הקוף בערך בשנת 2014 כאשר המחלוקת בין מר סלייטר וויקימדיה הפכה לחדשות בינלאומיות.,מסור קוף סלפי מחלוקת ויקימדיה הפך חדשות
190,"Our view was immediately that Naruto, who created the photograph, should own the copyright to it.","השקפתנו הייתה מיד שנארוטו, שיצר את התצלום, צריך להיות בעל זכויות היוצרים עליו.",נוף נוצר נוצר תצלום שלו זכות יוצרים
191,"Jeff saw the dispute as this photographer wants to sue Wikimedia, and Wikimedia is claiming the photo is in the public domain.","ג'ף ראה את המחלוקת שכן הצלם הזה רוצה לתבוע את ויקימדיה, וויקימדיה טוענת שהתמונה היא נחלת הכלל.",מסור מחלוקת צלם רוצה לתבוע ויקימדיה ויקימדיה טוען תצלום נחלת הכלל
192,But who's standing up for the monkey?,אבל מי עומד בעד הקוף?,עומד קוף
193,That's what the law is.,זה מה שהחוק.,חוק
194,"And our argument, very simply, is that that should apply equally to him, even though he simply happens not to have been born human.","והטענה שלנו, בפשטות רבה, היא שזה צריך לחול עליו באותה מידה, למרות שהוא פשוט במקרה לא נולד בן אדם.",טענה לפנות קורה נולד אנושי
195,"But certainly the monkey didn't think like, now this is great.","אבל בהחלט הקוף לא חשב כאילו, עכשיו זה נהדר.",קוף לא חשבתי גדול
196,I've got a camera in my hands.,יש לי מצלמה בידיים.,מצלמה ידיים
197,I'm going to snap a couple frames and update my Bumble profile with whatever I get.,אני הולך לצלם כמה פריימים ולעדכן את פרופיל Bumble שלי עם כל מה שאקבל.,הולך לצלם זוג מסגרות לעדכן פרופיל לדעת
198,"The monkey's not thinking of it as, I'm taking a photograph here.","הקוף לא חושב על זה, אני מצלם כאן.",קופים חשיבה לקיחה תצלום
199,But that's not required under the copyright law.,אבל זה לא נדרש על פי חוק זכויות היוצרים.,מחויב חוק זכויות יוצרים
200,"All that's required is that the copyright law simply provides that the author, the creator of the image, is entitled to own it.","כל מה שנדרש הוא שחוק זכויות היוצרים פשוט קובע שהיוצר, היוצר של התמונה, זכאי להחזיק בה.",מחויב חוק זכויות יוצרים מספק מחבר יוצר תמונה רשאי שלו
201,It doesn't say that the author has to know that he or she is making a photograph.,זה לא אומר שהכותב צריך לדעת שהוא או היא מצלמים.,לא לומר מחבר לדעת הכנה תצלום
202,"If somebody gives you their camera and asks you to take a photograph, and you arrange them and you take the photograph, under those circumstances, you technically would own the copyright.","אם מישהו נותן לך את המצלמה שלו ומבקש ממך לצלם, ואתה מסדר אותם ואתה מצלם את התמונה, בנסיבות האלה, מבחינה טכנית תהיה לך זכויות היוצרים.",נותן מצלמה שואל לצלם תצלום לארגן לצלם תצלום נסיבות שלו זכות יוצרים
203,There are like 20 French tourists that I need to sue.,יש בערך 20 תיירים צרפתים שאני צריך לתבוע.,צרפתים תיירים צריך לתבוע
204,PETA is an American organization.,PETA הוא ארגון אמריקאי.,ארגון
205,And the case was to be heard in federal court in San Francisco.,והתיק היה אמור להידון בבית משפט פדרלי בסן פרנסיסקו.,מקרה נשמע בית משפט פדרלי סן פרנסיסקו
206,David talked to his lawyers in England.,דיוויד שוחח עם עורכי הדין שלו באנגליה.,דיבר עורכי דין אנגליה
207,And they told him he needed to hire an American attorney and fight this.,"והם אמרו לו שהוא צריך לשכור עו""ד אמריקאי ולהילחם בזה.",סיפר נחוץ לשכור עורך דין מאבק
208,"I was advised by talking to these attorneys that I really did need to follow this through, because there would be a chance, an outside chance albeit, of it just going the monkey's way if I didn't challenge it.","ייעצו לי בשיחה עם עורכי הדין האלה שאני באמת צריך לבצע את זה, כי יהיה סיכוי, אם כי סיכוי חיצוני, שזה פשוט ילך לדרכו של הקוף אם לא אאתגר אותו.",מומלץ שיחה עורכי דין צורך עשה צורך לעקוב הזדמנות הזדמנות הולך קופים דרך לא אתגר
209,The monkey would win?,הקוף ינצח?,קוף לנצח
210,Yeah.,כֵּן.,
211,"Well, it was in the court in California.","ובכן, זה היה בבית המשפט בקליפורניה.",בית משפט קליפורניה
212,And everybody has the opinion that anything can happen there.,ולכולם יש דעה שהכל יכול לקרות שם.,דעה לקרות
213,I don't know how true that is.,אני לא יודע כמה זה נכון.,לא יודע נכון
214,But I was being told I can't take that risk.,אבל אמרו לי שאני לא יכול לקחת את הסיכון הזה.,סיפר ליטול להסתכן
215,But of course.,אבל כמובן.,כמובן
216,Have you been to California?,היית בקליפורניה?,קליפורניה
217,"Well, no.","ובכן, לא.",
218,It's kind of true.,זה די נכון.,נכון
219,David hired Andrew Dhuey to represent him.,דייוויד שכר את אנדרו דהוי לייצג אותו.,שכר ליצג
220,Do you remember when you first heard about the case?,אתה זוכר מתי שמעת לראשונה על המקרה?,לעשות לזכור נשמע מקרה
221,Was it when did David call you?,מתי דיוויד התקשר אליך?,שיחה
222,Is that how you first heard about it?,ככה שמעת על זה לראשונה?,נשמע
223,"No, I read about it.","לא, קראתי על זה.",לקרוא
224,And I don't remember where I read about it.,ואני לא זוכר איפה קראתי על זה.,אל תעשה לזכור לקרוא
225,But I got pretty excited when I saw that it was filed in San Francisco federal court because I'm right across the bay in Berkeley.,אבל די התרגשתי כשראיתי שזה הוגש לבית המשפט הפדרלי בסן פרנסיסקו כי אני ממש מעבר למפרץ בברקלי.,נרגש מסור מתויק סן פרנסיסקו בית משפט פדרלי לגרום ברקלי
226,"So I thought, wow, I would be perfect for this case.","אז חשבתי, וואו, אני אהיה מושלם עבור המקרה הזה.",חשבתי מושלם מקרה
227,Andrew is an intellectual property lawyer.,אנדרו הוא עורך דין קניין רוחני.,קניין רוחני עורך דין
228,Works for himself.,עובד בשביל עצמו.,עבודות
229,"And when he read about the case, he reached out to David to ask if he could take it.","וכשקרא על המקרה, הוא פנה אל דוד לשאול אם הוא יכול לקחת את זה.",לקרוא מקרה הגיע לשאול ליטול
230,Why did you think you were perfect for the case?,למה חשבת שאתה מושלם לתיק?,לחשוב מושלם מקרה
231,"Well, I think the case kind of lent itself to making monkey puns and things like that.","ובכן, אני חושב שהמקרה די השאיל את עצמו ליצירת משחקי מילים של קופים ודברים כאלה.",חושב יודע מקרה יודע הכנה קוף משחקי מילים דברים
232,And I just thought that would be I kind of like to do that.,ופשוט חשבתי שזה יהיה שאני די אוהב לעשות את זה.,מחשבה
233,I like to joke around.,אני אוהב להתבדח.,
234,I don't know if you've seen my LinkedIn profile.,אני לא יודע אם ראית את פרופיל הלינקדאין שלי.,לא יודע ראה לינקדאין פרופיל
235,I'm in a Chippendales costume.,אני בתחפושת של צ'יפנדיילס.,צ'יפנדיילס תלבושת
236,"For his LinkedIn picture, Andrew chose a shot of himself wearing eyeglasses, a bow tie, and nothing else.","לתמונת הלינקדאין שלו, אנדרו בחר תמונה שלו עם משקפי ראייה, עניבת פרפר ותו לא.",לינקדאין תמונה בחר בעיטה לבישה משקפים קשת עניבה
237,"All these years I've been practicing for like 25 years, and I've never been able to joke around in anything I filed in court.","כל השנים האלה אני מתאמן 25 שנה, ומעולם לא הצלחתי להתבדח בשום דבר שהגשתי לבית המשפט.",שנים מתאמן שנים מסוגל מתויק בית משפט
238,"So I was like, hey, this would actually be a case where I could do that.","אז חשבתי, היי, זה באמת יהיה מקרה שבו אני יכול לעשות את זה.",מקרה
239,"That said, he's a real intellectual property lawyer.","עם זאת, הוא עורך דין קניין רוחני אמיתי.",אמר אמיתי קניין רוחני עורך דין
240,"He's defended the toy company Wham-O, won an important case against Panasonic.","הוא הגן על חברת הצעצועים Wham-O, זכה בתיק חשוב נגד פנסוניק.",מוגן צעצוע חברה ניצח חשוב מקרה
241,"And for Andrew, the case was a one banana problem.","ועבור אנדרו, המקרה היה בעיה של בננה אחת.",מקרה בננה בעיה
242,He answered Naruto's complaint with a motion to dismiss the case.,הוא ענה לתלונתו של נארוטו בבקשה לבטל את התיק.,ענה תלונה תנועה לדחות מקרה
243,"Monkeys, he said, do not have standing to sue in federal court.","לקופים, אמר, אין סמכות לתבוע בבית משפט פדרלי.",קופים אמר עומד לתבוע בית משפט פדרלי
244,His argument is based on a precedent set in 2004 in a case called Cetacean Community v George W.,הטיעון שלו מבוסס על תקדים שנקבע בשנת 2004 בתיק בשם Cetacean Community v George W.,טענה מבוסס תקדים מערכת מקרה נקרא קהילה
245,"Bush, in which all the world's whales, porpoises, and dolphins sued the president.","בוש, שבו תבעו את הנשיא כל הלווייתנים, החזירונים והדולפינים בעולם.",עולמות לווייתנים דולפינים דולפינים תבע נשיא
246,"All the world's whales, porpoises, and dolphins argued that the military's use of underwater sonar was hurting them, changing their natural behaviors, like eating and mating.","כל הלווייתנים, הדולפינים והדולפינים בעולם טענו שהשימוש של הצבא בסונאר תת-מימי פוגע בהם, משנה את ההתנהגויות הטבעיות שלהם, כמו אכילה והזדווגות.",עולמות לווייתנים דולפינים דולפינים טען צבאות להשתמש תת ימי פוגע משתנה טבעי התנהגויות אכילה הזדווגות
247,"Basically, sonar is just an incredibly loud sound wave.","בעיקרון, סונאר הוא רק גל קול חזק להפליא.",בקול רם גל קול
248,"So cetaceans, that's a scientific word for a category of marine mammal cetaceans flee when they hear sonar, sometimes even beating themselves to get away.","אז לוונים, זו מילה מדעית לקטגוריה של לומני יונקים ימיים בורחים כשהם שומעים סונאר, לפעמים אפילו מכים את עצמם כדי לברוח.",יונקים ימיים מדעי מלה קטגוריה יונק יונקים ימיים לשמוע חוף
249,"In that case, the Ninth Circuit Court of Appeals decided that unless Congress explicitly states otherwise, animals do not have standing to sue in federal court.","במקרה זה, בית המשפט התשיעי לערעורים החליט כי אלא אם כן הקונגרס קבע אחרת במפורש, לבעלי חיים אין זכות לתבוע בבית משפט פדרלי.",מקרה בית משפט ערעורים החליט מדינות בעלי חיים עומד לתבוע בית משפט פדרלי
250,So that's the case Andrew pointed to in his defense.,אז זה המקרה שאנדרו הצביע עליו להגנתו.,מקרה מחודד הגנה
251,"But PETA hired an outside attorney to represent the monkey Naruto in court, a guy named David Schwarz.","אבל PETA שכרה עורך דין חיצוני שייצג את הקוף נארוטו בבית המשפט, בחור בשם דיוויד שוורץ.",נשכר עורך דין ליצג קוף בית משפט בחור שם
252,"This guy, Schwarz, he comes from a fancy law firm in Los Angeles known for intellectual property law.","הבחור הזה, שוורץ, הוא בא ממשרד עורכי דין מפואר בלוס אנג'לס הידוע בדיני קניין רוחני.",בחור מגיע משרד עורכי דין לוס אנג'לס ידוע קניין רוחני חוק
253,Most of his case was an intellectual property argument that Naruto was the legal owner of the copyright because he was the one who made the photo.,רוב המקרה שלו היה טיעון קניין רוחני לפיו נארוטו היה הבעלים החוקי של זכויות היוצרים מכיוון שהוא זה שעשה את התמונה.,מקרה קניין רוחני טענה משפטי זכות יוצרים יצר תצלום
254,But PETA also saw this case as an opportunity to nudge the law and set a precedent.,אבל PETA גם ראתה במקרה הזה הזדמנות לדחוף את החוק וליצור תקדים.,ראה מקרה הזדמנות להזיז חוק מערכת תקדים
255,They disagreed with the ruling in the cetacean case.,הם לא הסכימו עם הפסיקה בעניין השכינה.,לא הסכים פסק דין מקרה
256,They believe animals should have recourse in court.,הם מאמינים שבעלי חיים צריכים לפנות לבית המשפט.,מאמינים בעלי חיים בית משפט
257,"Calling civil matter 15-4324, Naruto v David John Slater, et al.","קורא לעניין אזרחי 15-4324, Naruto v David John Slater, et al.",יעוד אזרחי חומר לזנק
258,"Counsel, please come forward and state your appearance.","עורך דין, בבקשה בוא קדימה והצהיר על הופעתך.",עורך דין לבוא מדינה הופעה טוב
259,This is a recording from the hearing in the federal district court in San Francisco.,מדובר בהקלטה מהדיון בבית המשפט המחוזי הפדרלי בסן פרנסיסקו.,צהריים הקלטה שמיעה בית משפט פדרלי סן פרנסיסקו בלתי צפוי
260,The judge asked Schwarz if he has an example of an animal ever being granted a copyright.,השופט שאל את שוורץ אם יש לו דוגמה לכך שחיה קיבלה אי פעם זכויות יוצרים.,לשפוט שאל דוגמה חיה מוענק זכות יוצרים
261,"In the vast history of common law prior to the Copyright Act, was there do you have an example of where an animal was granted a copyright?","בהיסטוריה העצומה של המשפט המקובל לפני חוק זכויות היוצרים, האם יש לך דוגמה למקום שבו ניתנה לבעל חיים זכויות יוצרים?",עצום היסטוריה המשפט המקובל חוק זכויות יוצרים דוגמה חיה מוענק זכות יוצרים
262,I do not have an example where an animal was granted a copyright.,אין לי דוגמה שבה ניתנה זכויות יוצרים לחיה.,דוגמה חיה מוענק זכות יוצרים
263,We could make the counterargument as to how other humans were denied protection under that law due to the color of their skin.,נוכל להעלות את הטיעון הנגדי לגבי האופן שבו נמנעה מבני אדם אחרים הגנה על פי חוק זה בשל צבע עורם.,לעשות טיעון נגדי אחר בני אדם נדחתה הגנה חוק עקב צבע עור
264,One could see the contradiction in a statutory interpretation where we see that problem in the antebellum days.,אפשר לראות את הסתירה בפרשנות סטטוטורית שבה אנו רואים את הבעיה הזו בימי קדם הבל.,לראות סתירה פירוש לראות בעיה ימים
265,But when you look at the cornerstones of.,אבל כשמסתכלים על אבני היסוד של.,מבט יסודות
266,"That's quite a stretch, Mr. Schwarz.","זה די מתיחה, מר שוורץ.",מתיחה
267,Just to pause on this for a moment.,רק לעצור על זה לרגע.,הפסקה רגע ענה
268,"Yes, Schwarz is comparing a monkey's lack of copyright to chattel slavery, which is offensive and seems weirdly blind to the racist history of comparing black people and monkeys.","כן, שוורץ משווה חוסר זכויות יוצרים של קוף לעבדות מטלטלין, שהיא פוגענית ונראית עיוורת באופן מוזר להיסטוריה הגזענית של השוואה בין שחורים לקופים.",השוואה קופים חוסר זכות יוצרים עבדות מיטלטלין התקפי נראה לסמא גזען היסטוריה השוואה אנשים שחורים קופים
269,Even Schwarz seems uncomfortable with it.,אפילו שוורץ נראה לא בנוח עם זה.,נראה לא נוח
270,He's saying that denying a monkey the right to own property because of its species is the same as denying humans the right to own property because of the color of their skin.,הוא אומר שמניעת הזכות לבעלות על רכוש מקוף בגלל המין שלו זהה לשלילת זכות הקניין מבני אדם בגלל צבע עורם.,פתגם מכחיש קוף נכס משלו אותו הדבר מכחיש בני אדם נכס משלו צבע עור
271,"That's quite a stretch, Mr. Schwarz.","זה די מתיחה, מר שוורץ.",למתוח
272,Pardon me?,סליחה?,חנינה
273,That's quite a stretch.,זה די מתיחה.,למתוח
274,But go ahead.,אבל קדימה.,ללכת
275,And I certainly wouldn't make it the centerpiece of any argument here today.,ובוודאי שלא הייתי הופך את זה למרכז של שום ויכוח כאן היום.,לעשות מרכז טענה היום
276,"But it is fair to say that before the adoption of the 14th Amendment, the concepts of property ownership in the area of patents foreclosed the ability of a slave to claim ownership to a patent.","אבל זה הוגן לומר שלפני אימוץ התיקון ה-14, המושגים של בעלות על רכוש בתחום הפטנטים עיקלו את יכולתו של עבד לתבוע בעלות על פטנט.",הוגן לומר אימוץ ארבעה עשר תקון מושגים בעלות נכס אזור פטנטים יכולת עבד תביעה בעלות פטנט
277,What's going on here is that PETA sees the monkey selfie case in the context of a larger end game.,מה שקורה כאן הוא ש-PETA רואה את מקרה הסלפי של הקוף בהקשר של משחק קצה גדול יותר.,הולך רואה קוף סלפי מקרה הקשר גדול יותר סוף המשחק
278,"If they can get a court to agree that denying a monkey the right to own property is the same as denying a human the right to own property, that opens the door for the legal system to completely reconsider the legal status of animals.","אם הם יכולים לגרום לבית משפט להסכים שמניעת הזכות לבעלות על רכוש מקוף זהה לשלילת זכות הקניין מאדם, זה פותח את הדלת למערכת המשפטית לשקול מחדש לחלוטין את המעמד המשפטי של בעלי חיים.",בית משפט להסכים מכחיש קוף נכס משלו אותו מכחיש אנושי נכס משלו נפתח דלת מערכת משפטית לשקול שוב סטטוס משפטי בעלי חיים
279,An animal would be declared an owner of property instead of just being property.,בעל חיים יוכרז כבעל רכוש במקום להיות רק רכוש.,חיה יוכרז נכס נכס
280,This isn't the first time PETA has tried an argument like this in the courts.,זו לא הפעם הראשונה ש-PETA מנסה טיעון כזה בבתי המשפט.,זמן ניסה טענה בתי המשפט
281,"In 2011, they sued SeaWorld on behalf of five orcas at SeaWorld Orlando and SeaWorld San Diego.",ב-2011 הם תבעו את SeaWorld בשם חמישה אורקות ב-SeaWorld אורלנדו וב-SeaWorld סן דייגו.,תבע מטעם דייגו
282,"Orcas are huge, 20 to 30 feet long.","אורקות הם ענקיים, באורך של 20 עד 30 רגל.",עצום רגליים
283,And they weigh about six tons.,והם שוקלים כשישה טון.,לשקול טונות
284,They typically travel around 75 miles in a day.,הם בדרך כלל נוסעים בסביבות 75 מייל ביום.,לנסוע מיילים יום
285,"PETA said that keeping these orcas at SeaWorld in small concrete tanks against their will to perform for human entertainment, that was slavery.","PETA אמר כי החזקת האורקות הללו ב-SeaWorld במיכלי בטון קטנים בניגוד לרצונם להופיע למען בידור אנושי, זו הייתה עבדות.",אמר שמירה קטן בטון טנקים לבצע אנושי בידור עבדות
286,PETA lost that case.,PETA הפסידה בתיק הזה.,אבד מקרה
287,But SeaWorld has agreed to end its captive orca program after the last of their 27 orcas dies.,אבל סי-וורלד הסכימה לסיים את תוכנית האורקה השבויה שלה לאחר שמת האחרון מבין 27 האורקות שלהם.,מוסכם סוף שבוי אורקה תכנית אחרון מת
288,"To understand why PETA is pursuing cases like these, you have to consider two very different pictures about how the world works.","כדי להבין מדוע PETA רודפת מקרים כמו אלה, אתה צריך לשקול שתי תמונות שונות מאוד על איך העולם עובד.",להבין רודף מקרים לשקול שונה תמונות עולם עובד
289,"In one of them, humans are at the top of the food chain-- either because God wanted it that way, or because we figured out how to use our opposable thumbs so well that we could hunt and gather, and till the soil, and build cities, and create copyright laws.","באחד מהם, בני האדם נמצאים בראש שרשרת המזון - או בגלל שאלוהים רצה את זה ככה, או בגלל שמצאנו איך להשתמש באגודלים המנוגדים שלנו כל כך טוב שנוכל לצוד ולאסוף, ולעבד את האדמה, ולבנות ערים, וליצור חוקי זכויות יוצרים.",בני אדם ראש שרשרת המזון רצה דרך הבנו להשתמש אגודלים לצוד לאסוף אדמה לבנות ערים ליצור חוקי זכויות יוצרים
290,We make the rules for everything else in this world.,אנחנו קובעים את הכללים לכל דבר אחר בעולם הזה.,ליצור כללים עולם
291,And the other picture-- and this is the one PETA has hanging on their wall-- humans are not at the top.,והתמונה השנייה - וזו התמונה של PETA תלויה על הקיר שלהם - בני אדם לא נמצאים בראש.,אחר תמונה תלוי קיר בני אדם ראש
292,Humans are just another mammal walking around on earth.,בני אדם הם רק עוד יונק שמסתובב על פני כדור הארץ.,בני אדם יונק הולך כדור הארץ
293,"And if we're going to give ourselves certain rights as humans, we should extend those rights to our fellow animals.","ואם אנחנו מתכוונים לתת לעצמנו זכויות מסוימות כבני אדם, עלינו להרחיב את הזכויות הללו לאחיינו החיות.",לתת מסוים זכויות בני אדם להאריך זכויות עמית בעלי חיים
294,You guys are saying humans are not superior to other animals.,אתם אומרים שבני אדם אינם עדיפים על חיות אחרות.,חבר'ה פתגם בני אדם עליון בעלי חיים אחרים
295,We're not.,אנחנו לא.,
296,We are just another member of the animal kingdom.,אנחנו רק עוד חבר בממלכת החיות.,חבר ממלכת החיות לדעת
297,And it doesn't it's just prejudice and hubris that prevents us many times from seeing that.,וזה לא רק דעות קדומות והיבריס שמונעים מאיתנו הרבה פעמים לראות את זה.,לפגוע מונע פעמים רבות לראות
298,"This is Jeff Kerr again, the general counsel to PETA.","זה שוב ג'ף קר, היועץ הכללי של PETA.",כללי עורך דין
299,That property status is something that we think is just an abomination.,מעמד הרכוש הזה הוא משהו שאנחנו חושבים שהוא רק תועבה.,נכס סטטוס לחשוב תועבה
300,"Like Naruto, these animals are feeling, sentient beings.","כמו נארוטו, החיות הללו הן יצורים חשים ובעלי חיים.",בעלי חיים מרגיש יצורים תודעתיים
301,"They should be entitled to fundamental legal rights beyond simply food, water, veterinary care, and shelter.","הם צריכים להיות זכאים לזכויות יסוד משפטיות מעבר למזון, מים, טיפול וטרינרי ומחסה בלבד.",רשאי יסוד זכויות משפטיות מזון מים וטרינרי לטפל מקלט
302,"This idea that animals should have recognized, fundamental legal rights is not unprecedented.",הרעיון הזה שבעלי חיים היו צריכים להכיר בזכויות משפטיות בסיסיות אינו חסר תקדים.,רעיון בעלי חיים מוכר יסוד זכויות משפטיות חסר תקדים
303,"Three years ago in Argentina, a judge granted a habeas corpus petition filed on behalf of an orangutan at a zoo in Buenos Aires.","לפני שלוש שנים בארגנטינה, קיבל שופט עתירה שהוגשה בשם אורנגאוטן בגן חיות בבואנוס איירס.",שנים ארגנטינה לשפוט מוענק לעתור הגיש מטעם בואנוס איירס
304,"She was being held in a tiny, crappy cage.",היא הוחזקה בכלוב קטנטן ומחורבן.,מוחזק זעיר גרוע כלוב
305,"The judge decided the orangutan had basic rights as a non-human person, including the right to freedom.","השופט החליט שלאורנגאוטן יש זכויות בסיסיות כאדם לא אנושי, כולל הזכות לחירות.",לשפוט החליט אורנגאוטן זכויות בסיסיות אדם לרבות חופש
306,"And in New York state, an attorney is fighting to get the courts to recognize that two captive chimps, Tommy and Kiko, are non-human persons deserving of legal rights, just like corporations get.","ובמדינת ניו יורק, עורך דין נלחם כדי לגרום לבתי המשפט להכיר בכך ששני שימפנזים שבויים, טומי וקיקו, הם אנשים לא אנושיים הראויים לזכויות משפטיות, בדיוק כמו שמקבלים תאגידים.",חדש מדינה עורך דין נאבק בתי המשפט להכיר שבוי אנשים ראוי זכויות משפטיות תאגידים
307,"The thing is David Slater, the photographer who's getting sued by the monkey, he agrees with PETA on this point.","העניין הוא דיוויד סלייטר, הצלם שנתבע על ידי הקוף, הוא מסכים עם PETA בנקודה זו.",דבר צלם תבע קוף מסכים נקודה
308,"In fact, he used to defend PETA to his friends when they grumbled about the stunts.","למעשה, הוא נהג להגן על PETA בפני חבריו כאשר הם רטנו על הפעלולים.",עובדה משומש להגן חברים רטן פעלולים
309,David even worked with them once on a campaign to protect wild hogs near his home in England.,דיוויד אפילו עבד איתם פעם אחת בקמפיין להגנה על חזירי בר ליד ביתו באנגליה.,עבד מסע להגן פראי חזירים בית אנגליה
310,That's one of the greatest shames on them is that they've attacked somebody who is trying to achieve the same goal as they are.,זו אחת הבושה הכי גדולה עבורם היא שהם תקפו מישהו שמנסה להשיג את אותה מטרה כמוהם.,הגדול ביותר בושה תקף מנסה להשיג אותו יעד
311,Saving animals from suffering is a very noble cause.,הצלת בעלי חיים מסבל היא מטרה נעלה מאוד.,חסכון בעלי חיים סבל אצילי לגרום
312,But I think sometimes they get carried away with their power.,אבל אני חושב שלפעמים הם נסחפים עם הכוח שלהם.,לחשוב נשא כוח
313,"Did the fact that this group that's sort of on your side was the one kind of attacking you or opposing you, did that make you stop ever and think, well, now, wait a minute?","האם העובדה שהקבוצה הזו שנמצאת קצת בצד שלך הייתה הסוג היחיד שתקף אותך או התנגד לך, זה גרם לך לעצור אי פעם ולחשוב, טוב, עכשיו, חכה רגע?",עובדה קבוצה סוג צד תוקף מתנגדים לעשות להפסיק לחשוב לחכות דקה
314,Do they have a point?,יש להם טעם?,נקודה
315,No.,לֹא.,
316,I've had to think very carefully about what my philosophy is.,נאלצתי לחשוב היטב מה הפילוסופיה שלי.,לחשוב פילוסופיה לגרום
317,"Because the book, my Wildlife Personalities book, that's part of the court case, I argue for animals having more fundamental rights, like dignity, and access to their ancestral forests, and access to food.","מכיוון שהספר, ספר אישיות חיות הבר שלי, זה חלק מתיק בית המשפט, אני טוען שלבעלי חיים יש זכויות בסיסיות יותר, כמו כבוד, וגישה ליערות אבותיהם וגישה למזון.",חיות בר אישיויות חלק חלק בית משפט מקרה לטעון בעלי חיים שיש זכויות בסיסיות כבוד גישה קדומים יערות גישה מזון
318,So I am an animal rights advocate.,אז אני חסיד זכויות בעלי חיים.,זכויות בעלי חיים עורך דין
319,Naruto and PETA lost that first round in court.,נארוטו ו-PETA הפסידו בסיבוב הראשון בבית המשפט.,אבד עגול בית משפט
320,Andrew Dhuey called David to tell him the news.,אנדרו דואי התקשר לדיוויד כדי לבשר לו את החדשות.,נקרא לספר חדשות
321,We just took it very casually.,פשוט לקחנו את זה כלאחר יד.,לקח
322,"We just said, yeah, of course.","רק אמרנו, כן, כמובן.",אמר כמובן
323,Of course that's going to get thrown out.,כמובן שזה ייזרק החוצה.,כמובן נזרק
324,Andrew Dhuey said this all along to me.,אנדרו דהוי אמר לי את זה כל הזמן.,אמר
325,There's no way that this is going to go anywhere.,אין סיכוי שזה יגיע לשום מקום.,דרך ללכת
326,And then the monkey appealed.,ואז הקוף ערער.,קוף ערעור
327,"Good morning, Your Honors.","בוקר טוב, כבוד הרב.",בוקר טוב הצטיינות
328,"And may it please the court, David Schwarz on behalf of the appellant.","ויהי רצון לבית המשפט, דוד שוורץ בשם המערער.",בית משפט מטעם עורר
329,The case went before three judges on the Ninth Circuit Court of Appeals.,התיק הועבר לשלושה שופטים בבית המשפט התשיעי לערעורים.,מקרה שופטים בית משפט בית משפט לערעורים מקרה
330,That's the court that ruled against Trump's travel ban twice this year.,זה בית המשפט שהכריע את איסור הנסיעה של טראמפ פעמיים השנה.,שלט מנצחים לנסוע לאסור שנה
331,These judges are not messing around.,השופטים האלה לא מתעסקים.,שופטים בלגן
332,Schwarz made it 30 seconds into his oral argument before one of the judges interrupted him.,שוורץ עשה זאת 30 שניות לטיעונו בעל פה לפני שאחד השופטים קטע אותו.,עשוי שניות שבעל פה טענה שופטים מופרע כבוד
333,"Mr. Schwarz, before we get there, there's a preliminary question which I'd like you to address.","מר שוורץ, לפני שנגיע לשם, יש שאלה מקדימה שארצה שתתייחס אליה.",מקדים שאלה כתובת
334,"At this stage, the attorneys and the judges are going to debate case law.",בשלב זה עומדים עורכי הדין והשופטים לדון בפסיקה.,שלב עורכי דין שופטים דיון מקרה חוק
335,"And the judges have a lot of questions for Schwarz the first being, how are you qualified to be Naruto's next friend?","ולשופטים יש הרבה שאלות לשוורץ, קודם כל, איך אתה כשיר להיות החבר הבא של נארוטו?",שופטים מגרש שאלות מוסמך הבא חבר
336,You don't know the monkey.,אתה לא מכיר את הקוף.,לא יודע קוף לטעון
337,"And then a few minutes later, Judge Randy Smith interrupts Schwarz to grill him about injury.","ואז כמה דקות לאחר מכן, השופט רנדי סמית' קוטע את שוורץ כדי להגריל אותו לגבי פציעה.",סעיף כמה דקות לשפוט הפרעות לחקור פציעה
338,That's the legal term for harm or damage.,זה המונח המשפטי לנזק או נזק.,משפטי מונח פגיעה נזק
339,"Well, what's your injury?","ובכן, מה הפציעה שלך?",פציעה
340,There's no way to acquire or hold some money which the copyright would give.,אין דרך לרכוש או להחזיק כסף שזכויות היוצרים יתנו.,דרך לרכוש להחזיק כסף זכות יוצרים לתת
341,There's no losses to reputation.,אין הפסד למוניטין.,אבדות מוניטין
342,There's no even allegation that the copyright could have benefited somehow Naruto.,אין אפילו טענה שזכויות היוצרים היו יכולות להועיל איכשהו לנארוטו.,האשמה זכות יוצרים נהנו
343,What financial benefits apply to him?,אילו הטבות כספיות חלות עליו?,כספי הטבות לפנות
344,There's nothing.,אין כלום.,
